iso3,year_window,category,total_event_count,goldstein_wavg,tone_wavg
DOM,2015,Aid/Cooperation,5355,3.4590119514472457,2.501934080298786
DOM,2015,Conflict/Migration,317,-9.862908517350158,-0.6892113564668768
DOM,2015,Disapproval/Sanction,665,-2.858587969924812,1.0172646616541354
DOM,2015,Other,5695,2.1188804214223005,1.0278886742756805
DOM,2015,Protest,122,-4.685081967213115,-1.0195245901639345
DOM,2020,Aid/Cooperation,10400,3.0309600000000003,0.5227511538461539
DOM,2020,Conflict/Migration,725,-9.820852413793103,-3.980615172413793
DOM,2020,Disapproval/Sanction,1803,-2.9840049916805325,-2.16675540765391
DOM,2020,Other,12996,2.2915975684826098,-0.5545917205293938
DOM,2020,Protest,175,-4.915182857142857,-3.1588114285714286
DOM,2024,Aid/Cooperation,6518,3.114200214789813,1.659660938938325
DOM,2024,Conflict/Migration,766,-9.563738903394256,-4.269378590078329
DOM,2024,Disapproval/Sanction,1270,-3.123023622047244,-2.9664874015748035
DOM,2024,Other,8396,1.971047284421153,-0.49403060981419716
DOM,2024,Protest,126,-4.9998571428571426,-2.3616428571428574
ECU,2000,Aid/Cooperation,7675,3.2729305537459283,5.636145407166124
ECU,2000,Conflict/Migration,1082,-9.812814232902035,4.255834565619224
ECU,2000,Disapproval/Sanction,2487,-3.179062726176116,5.196435062324085
ECU,2000,Other,9907,1.4972986777026347,5.173581104269709
ECU,2000,Protest,314,-5.316557324840764,4.8552292993630575
ECU,2005,Aid/Cooperation,6342,3.105608483128351,5.392982970671713
ECU,2005,Conflict/Migration,1008,-9.753665674603175,3.7315109126984125
ECU,2005,Disapproval/Sanction,1978,-3.0701031344792717,4.725239635995956
ECU,2005,Other,8422,0.9671131560199477,4.835687603894562
ECU,2005,Protest,231,-5.154913419913419,4.829969696969696
ECU,2010,Aid/Cooperation,22931,3.2899636736295848,5.310785399677292
ECU,2010,Conflict/Migration,5193,-9.860756017716158,4.361138070479491
ECU,2010,Disapproval/Sanction,6737,-2.850940626391569,4.7184127950126165
