iso3,year,gdelt_events_Aid/Cooperation,gdelt_events_Conflict/Migration,gdelt_events_Disapproval/Sanction,gdelt_events_Other,gdelt_events_Protest,gdelt_goldstein_Aid/Cooperation,gdelt_goldstein_Conflict/Migration,gdelt_goldstein_Disapproval/Sanction,gdelt_goldstein_Other,gdelt_goldstein_Protest,gdelt_tone_Aid/Cooperation,gdelt_tone_Conflict/Migration,gdelt_tone_Disapproval/Sanction,gdelt_tone_Other,gdelt_tone_Protest
EGY,2010,274638,48781,63516,280080,7608,3.2815195675762276,-9.776385887948177,-3.018196501668871,1.3537634497286488,-5.249601340694006,5.589564546785223,3.8167571595498253,4.988705538761886,5.21404069194516,4.726731466876972
EGY,2015,828518,294769,313301,1273340,42727,3.0968217685071413,-9.837805895463905,-2.8707514754182077,0.4739311354390815,-5.283144966882768,2.968394290769784,1.026357795426249,2.318215055170587,2.480950239527542,2.329135722142907
EGY,2020,653298,163582,185157,806067,23107,3.1637741735012197,-9.82606152266142,-2.832108421501753,1.0929685472795685,-5.221262561128663,-1.1140974930276843,-6.071843796994779,-4.074830273767667,-2.8735277340469216,-4.3925317436274725
EGY,2024,427197,69200,79705,413852,14411,3.1873746163947776,-9.789462225433526,-2.9645985446333354,1.921405719919198,-5.120935951703559,-0.8270621750620908,-5.000540809248555,-3.7369419107960606,-2.204933845915931,-4.533044618694054
ERI,2000,18864,4992,5677,17501,472,3.4840695504664976,-9.888426482371797,-2.8510442134930423,1.9600648534369465,-5.4655550847457635,5.737206636980493,4.035811298076923,4.995458692971639,5.3662607279584025,4.818205508474577
ERI,2005,13242,1386,3242,12068,328,3.3570682676332884,-9.87128427128427,-2.9719602097470696,1.6233069274113356,-5.098871951219512,6.030334843679202,4.961597402597402,5.52499814929056,5.614057093138879,5.675807926829268
ERI,2010,17157,3696,7075,17958,771,3.315768082998193,-9.82455221861472,-2.774491731448763,1.2860251698407394,-5.139217898832684,6.218297196479571,4.152396915584416,5.103568197879859,5.5787544269963245,5.245476005188067
ERI,2015,23577,5678,7060,29569,785,2.906798744539169,-9.724772983444876,-2.8192151558073655,1.3418625587608644,-5.082182165605095,1.451686601348772,-1.5689246213455443,0.6951943342776205,0.9614621394027529,0.9986675159235671
ERI,2020,52067,8998,11136,50267,1425,3.3662109205446824,-9.788814736608137,-2.83919998204023,1.495149461873595,-4.929611929824562,-1.0706479151862025,-5.3638177372749505,-4.343192438936781,-2.9160429506435634,-5.597663859649123
ERI,2024,17891,6572,5837,22657,539,3.1220066513889666,-9.776327754108339,-3.0013909542573245,1.548502052345853,-5.132831168831169,-1.2623452014979597,-6.332196895922094,-5.1353830734966595,-3.750125833075871,-5.460638218923934
