iso3_orig,iso3_dest,year,migrant_stock,dest_total_migrant_stock,orig_total_migrant_stock,origin_share_in_dest_migrants,dest_share_of_origin_emigration
HND,USA,2000,266664.0,31369527.0,266664.0,0.008500733849126894,1.0
HND,USA,2005,394260.0,35533585.0,394260.0,0.011095418601866375,1.0
HND,USA,2010,509973.0,39769676.0,509973.0,0.01282316204939663,1.0
HND,USA,2015,621409.0,43278121.0,621409.0,0.014358502301890601,1.0
HND,USA,2020,775889.0,45295697.0,775889.0,0.01712941960027682,1.0
HND,USA,2024,934727.0,48694117.0,934727.0,0.019195891774770244,1.0
HTI,USA,2000,432213.0,31369527.0,432213.0,0.013778116577913337,1.0
HTI,USA,2005,491199.0,35533585.0,491199.0,0.01382351372652098,1.0
HTI,USA,2010,599162.0,39769676.0,599162.0,0.015065800385198008,1.0
HTI,USA,2015,686053.0,43278121.0,686053.0,0.015852190070821236,1.0
HTI,USA,2020,732899.0,45295697.0,732899.0,0.016180322824042203,1.0
HTI,USA,2024,798232.0,48694117.0,798232.0,0.01639278108277433,1.0
IDN,ARE,2000,91456.0,96902.0,2248113.0,0.9437988895998018,0.04068122910191792
IDN,ARE,2005,119309.0,125483.0,2535440.0,0.950798116079469,0.04705652667781529
IDN,ARE,2010,199195.0,208956.0,3182777.0,0.9532868163632535,0.06258528322907951
IDN,ARE,2015,250877.0,263170.0,3434177.0,0.953288748717559,0.07305301969001597
IDN,ARE,2020,262762.0,275636.0,3647140.0,0.9532934740019446,0.07204604155584925
IDN,ARE,2024,298351.0,312969.0,3969365.0,0.953292498618074,0.07516340774909841
IDN,AUS,2000,177079.0,659818.0,2248113.0,0.2683755217347814,0.07876783773769379
IDN,AUS,2005,189960.0,769054.0,2535440.0,0.24700476169423732,0.07492190704571987
IDN,AUS,2010,222874.0,941379.0,3182777.0,0.2367526787829344,0.07002501274830125
IDN,AUS,2015,242408.0,1074029.0,3434177.0,0.2256996785003012,0.07058692664938354
IDN,AUS,2020,294372.0,1266286.0,3647140.0,0.23246881036353556,0.08071310670827005
IDN,AUS,2024,329332.0,1327718.0,3969365.0,0.24804363577205402,0.08296843449770933
IDN,BEL,2000,2747.0,16597.0,2248113.0,0.16551183948906428,0.001221913667151073
IDN,BEL,2005,3008.0,17252.0,2535440.0,0.17435659633665662,0.0011863818508818982
IDN,BEL,2010,3270.0,18666.0,3182777.0,0.1751848280295725,0.001027404684651171
