iso3,country,year,ethnic_group,sex,value,metric,unit,source,source_year,record_type,reliability
ATG,Antigua and Barbuda,2001,Unknown,Both Sexes,169,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2001,White,Both Sexes,1340,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2011,African,Both Sexes,74018,ethnic_composition,persons,UNdata_Export_20250416_063435193,2014,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2011,Amerindian,Both Sexes,327,ethnic_composition,persons,UNdata_Export_20250416_063435193,2014,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2011,Asians,Both Sexes,122,ethnic_composition,persons,UNdata_Export_20250416_063435193,2014,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2011,Chinese,Both Sexes,143,ethnic_composition,persons,UNdata_Export_20250416_063435193,2014,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2011,Hispanic,Both Sexes,2330,ethnic_composition,persons,UNdata_Export_20250416_063435193,2014,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2011,Indian,Both Sexes,942,ethnic_composition,persons,UNdata_Export_20250416_063435193,2014,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2011,Mixed,Both Sexes,4011,ethnic_composition,persons,UNdata_Export_20250416_063435193,2014,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2011,Other,Both Sexes,111,ethnic_composition,persons,UNdata_Export_20250416_063435193,2014,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2011,Portuguese,Both Sexes,94,ethnic_composition,persons,UNdata_Export_20250416_063435193,2014,Census - de jure - complete tabulation,"Final figure, complete"
