iso3,year,gdelt_events_Aid/Cooperation,gdelt_events_Conflict/Migration,gdelt_events_Disapproval/Sanction,gdelt_events_Other,gdelt_events_Protest,gdelt_goldstein_Aid/Cooperation,gdelt_goldstein_Conflict/Migration,gdelt_goldstein_Disapproval/Sanction,gdelt_goldstein_Other,gdelt_goldstein_Protest,gdelt_tone_Aid/Cooperation,gdelt_tone_Conflict/Migration,gdelt_tone_Disapproval/Sanction,gdelt_tone_Other,gdelt_tone_Protest,conflict_events,conflict_tone,conflict_goldstein,coop_events,coop_tone,coop_goldstein,conflict_events_d1,conflict_events_d2,coop_events_d1,coop_events_d2,conflict_tone_d1,conflict_tone_d2,coop_tone_d1,coop_tone_d2,conflict_goldstein_d1,conflict_goldstein_d2,coop_goldstein_d1,coop_goldstein_d2,conflict_events_z,conflict_spike_hi,conflict_spike_med,push_multiplier,coop_events_z,pull_multiplier
BGD,2010,19225,5501,6153,33790,772,3.0851559947984395,-9.767041265224506,-2.8871922639362912,1.2753736312518495,-4.914432642487046,5.833573836150845,3.9178763861116157,5.022085161709735,5.310710417283221,4.915040155440415,12426,4.526600595525511,-6.058854820537583,19225,5.833573836150845,3.0851559947984395,11771.0,11786.0,18354.0,18438.0,-0.5280467327187646,-0.5380072169744894,0.19861861227024846,0.08042008773915477,-0.8104823014536136,-0.5071626330375834,0.24971512223816372,0.3866159693854794,0.6063135258105155,0,0,1.2021045086035052,-0.05717168082935665,0.9809427730568812
BGD,2015,32859,6755,8534,50649,1154,2.9510398977449097,-9.772036269430053,-2.953366182329505,1.5098235503168869,-4.799653379549394,3.8463448065978882,2.8620016284233905,3.2006696742441996,3.4220820944145,2.685522530329289,16443,3.025386425834702,-5.884141093474428,32859,3.8463448065978882,2.9510398977449097,4017.0,15788.0,13634.0,31988.0,-1.501214169690809,-2.0292609024095736,-1.9872290295529567,-1.7886104172827082,0.17471372706315513,-0.6357685743904584,-0.13411609705352978,0.11559902518463394,1.2583758433815762,0,1,1.4194586144605255,0.8553887442564355,1.2851295814188117
BGD,2020,39730,3702,8697,53158,1208,2.9593463377800155,-9.788017828200974,-3.083523053926641,1.8433599458218897,-4.755137417218543,0.7319108482255222,-2.9721307401404644,-1.5764522249051398,-0.6454392753677716,-2.545872516556291,13607,-2.042231718968178,-5.05598941721173,39730,0.7319108482255222,2.9593463377800155,-2836.0,1181.0,6871.0,20505.0,-5.06761814480288,-6.568832314493688,-3.114433958372366,-5.101662987925323,0.8281516762626975,1.0028654033258526,0.008306440035105833,-0.12580965701842395,0.7980201718277977,0,0,1.2660067239425992,1.3152833225727387,1.4384277741909128
BGD,2024,27003,2138,5214,33108,1022,2.951649001962745,-9.81233395696913,-3.0899888761028005,2.0537006161652775,-4.73551663405088,1.453234862793023,-2.498752572497662,-1.5046238971998465,-0.07874075752084085,-1.5981232876712328,8374,-1.7698500119417242,-5.00712562694053,27003,1.453234862793023,2.951649001962745,-5233.0,-8069.0,-12727.0,-5856.0,0.2723817070264538,-4.795236437776426,0.7213240145675007,-2.3931099438048653,0.04886379027120036,0.8770154665338978,-0.007697335817270723,0.0006091042178351103,-0.051430191092132975,0,0,0.982856602969289,0.46343085594028477,1.154476951980095
BRA,2000,36727,3926,7969,38914,778,3.1604525008849076,-9.818130412633723,-3.100689672480863,2.1283943310890683,-5.214088688946015,5.531624880877828,3.9958178807947022,5.284939013678002,5.211218327594182,5.267133676092545,12673,4.884485914937269,-5.3114445671900885,36727,5.531624880877828,3.1604525008849076,,,,,,,,,,,,,-1.0116371275666671,0,0,0.6627876241444444,-1.1809759427069386,0.6063413524310204
BRA,2005,36701,5551,7102,38467,817,2.9828639001662083,-9.851693388578635,-3.0119031258800337,1.7623945719707799,-5.133697674418605,5.860659954769625,3.7224768510178348,5.347855392847085,5.402921933085501,5.351449204406364,13470,4.678253303637713,-5.959281143281365,36701,5.860659954769625,2.9828639001662083,797.0,,-26.0,,-0.20623261129955583,,0.32903507389179687,,-0.6478365760912768,,-0.1775886007186993,,-0.9990253555230786,0,0,0.6669915481589739,-1.1812154137363569,0.6062615287545476
BRA,2010,130927,17233,26523,175635,3137,3.1124329206351633,-9.846597980618581,-3.010369980771406,1.7248457198166651,-5.15008798214855,5.18064089148915,4.004998839435966,4.830440938053765,4.487165394141259,4.922030283710552,46893,4.5332211417482355,-5.6657985626852625,130927,5.18064089148915,3.1124329206351633,33423.0,34220.0,94226.0,94200.0,-0.14503216188947743,-0.35126477318903326,-0.6800190632804748,-0.3509839893886779,0.29348258059610277,-0.354353995495174,0.12956902046895502,-0.04801958024974429,-0.4701379565107049,0,0,0.843287347829765,-0.31335398227648387,0.8955486725745054
BRA,2015,238697,33843,57969,316558,6598,3.0231622642932257,-9.834096090772094,-2.9547434835860544,1.9184179834343156,-4.958356471658079,3.0238709409837576,1.041587595662323,1.4918266487260432,2.168790780836371,1.53996059411943,98410,1.340217538868001,-5.454873234427397,238697,3.0238709409837576,3.0231622642932257,51517.0,84940.0,107770.0,201996.0,-3.1930036028802347,-3.338035764769712,-2.1567699505053928,-2.8367890137858676,0.2109253282578658,0.5044079088539686,-0.08927065634193765,0.04029836412701737,0.3450698984071796,0,0,1.1150232994690599,0.67925343466184,1.2264178115539466
BRA,2020,335589,67098,113795,507408,15263,3.0273154364415995,-9.82226513457927,-2.908753697438376,1.5217161022293695,-5.019444342527681,-1.2170938230990884,-4.678509076276491,-3.475605685662815,-2.3743454852899437,-3.7482116228788573,196156,-3.9082878168396586,-5.437854320030995,335589,-1.2170938230990884,3.0273154364415995,97746.0,149263.0,96892.0,204662.0,-5.2485053557076595,-8.441508958587894,-4.240964764082846,-6.397734714588239,0.017018914396401463,0.22794424265426727,0.0041531721483738515,-0.0851174841935638,1.8918080040189882,1,0,1.6306026680063295,1.571669857061284,1.5238899523537612
BRA,2024,211051,31974,53010,261681,7034,3.0291905416226412,-9.844374741977857,-2.915883965289568,1.6511830472980462,-4.979181546772818,-0.5023498443504177,-4.277066804278476,-2.970857083569138,-1.8190544670801474,-3.3105386693204437,92018,-3.450698743724054,-5.4810864178747645,211051,-0.5023498443504177,3.0291905416226412,-104138.0,-6392.0,-124538.0,-27646.0,0.4575890731156047,-4.790916282592055,0.7147439787486707,-3.5262207853341754,-0.043232097843769246,-0.026213183447367783,0.0018751051810417252,0.006028277329415577,0.24392253717428333,0,0,1.0813075123914277,0.4246220469966558,1.1415406823322185
