iso3_orig,iso3_dest,year,migrant_stock,migrant_stock_pred,migrant_stock_shock,delta_in_od,delta_out_od,delta_stock_od,model_name,view_type,scenario_name
CHN,IDN,2025,,86453.41093900491,93121.98167230086,6668.570733295939,0.0,6668.570733295939,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW
CHN,IDN,2025,,86453.41093900491,120129.6931421494,33676.28220314449,0.0,33676.28220314449,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH
CHN,IDN,2025,,86453.41093900491,102124.55216225036,15671.141223245457,0.0,15671.141223245457,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW
CHN,IDN,2025,,86453.41093900491,89311.36982470317,2857.95888569826,0.0,2857.95888569826,XGB_OD,SCENARIO,Aid_LOW
CHN,IDN,2025,,86453.41093900491,122177.89701023317,35724.486071228246,0.0,35724.486071228246,XGB_OD,SCENARIO,Aid_LOW__Conflict_external_HIGH
CHN,IDN,2025,,86453.41093900491,100266.8788865465,13813.467947541589,0.0,13813.467947541589,XGB_OD,SCENARIO,Aid_LOW__Conflict_external_LOW
CHN,IDN,2025,,86453.41093900491,89311.36982470317,2857.95888569826,0.0,2857.95888569826,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_HIGH
CHN,IDN,2025,,86453.41093900491,92598.02254325616,6144.61160425126,0.0,6144.61160425126,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH
CHN,IDN,2025,,86453.41093900491,90406.9207308875,3953.509791882593,0.0,3953.509791882593,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW
CHN,IDN,2025,,86453.41093900491,89311.36982470317,2857.95888569826,0.0,2857.95888569826,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_LOW
CHN,IDN,2025,,86453.41093900491,112317.93885457415,25864.527915569244,0.0,25864.527915569244,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH
CHN,IDN,2025,,86453.41093900491,96980.2261679935,10526.81522898859,0.0,10526.81522898859,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW
CHN,IDN,2025,,86453.41093900491,115032.9997959875,28579.588856982595,0.0,28579.588856982595,XGB_OD,SCENARIO,Conflict_external_HIGH
CHN,IDN,2025,,86453.41093900491,95979.94055799911,9526.529618994198,0.0,9526.529618994198,XGB_OD,SCENARIO,Conflict_external_LOW
CHN,IDN,2025,,86453.41093900491,86453.41093900491,0.0,0.0,0.0,XGB_OD,SCENARIO,Conflict_internal_HIGH
CHN,IDN,2025,,86453.41093900491,89311.36982470317,2857.958885698262,0.0,2857.958885698262,XGB_OD,SCENARIO,Conflict_internal_HIGH__Conflict_external_HIGH
CHN,IDN,2025,,86453.41093900491,87406.06390090434,952.6529618994208,0.0,952.6529618994208,XGB_OD,SCENARIO,Conflict_internal_HIGH__Conflict_external_LOW
CHN,IDN,2025,,86453.41093900491,86453.41093900491,0.0,0.0,0.0,XGB_OD,SCENARIO,Conflict_internal_LOW
CHN,IDN,2025,,86453.41093900491,106459.12313889273,20005.712199887817,0.0,20005.712199887817,XGB_OD,SCENARIO,Conflict_internal_LOW__Conflict_external_HIGH
CHN,IDN,2025,,86453.41093900491,93121.98167230086,6668.570733295939,0.0,6668.570733295939,XGB_OD,SCENARIO,Conflict_internal_LOW__Conflict_external_LOW
CHN,IDN,2030,,90106.71116712752,,,,,XGB_OD,FORECAST,
CHN,IDN,2035,,101823.38632131722,,,,,XGB_OD,FORECAST,
ERI,IDN,2000,0.0,,,,,,HIST,HIST,
ERI,IDN,2005,0.0,,,,,,HIST,HIST,
ERI,IDN,2010,0.0,,,,,,HIST,HIST,
ERI,IDN,2015,30.0,,,,,,HIST,HIST,
ERI,IDN,2020,264.0,,,,,,HIST,HIST,
ERI,IDN,2024,171.0,,,,,,HIST,HIST,
ERI,IDN,2025,,185.8535625317361,,,,,XGB_OD,FORECAST,
ERI,IDN,2025,,185.8535625317361,199.66430755878685,13.810745027050746,0.0,13.810745027050746,XGB_OD,SCENARIO,Aid_HIGH
ERI,IDN,2025,,185.8535625317361,279.5693323581519,93.7157698264158,0.0,93.7157698264158,XGB_OD,SCENARIO,Aid_HIGH__Conflict_external_HIGH
ERI,IDN,2025,,185.8535625317361,226.29931582524185,40.44575329350576,0.0,40.44575329350576,XGB_OD,SCENARIO,Aid_HIGH__Conflict_external_LOW
ERI,IDN,2025,,185.8535625317361,199.66430755878685,13.810745027050746,0.0,13.810745027050746,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_HIGH
ERI,IDN,2025,,185.8535625317361,207.65481003872333,21.80124750698726,0.0,21.80124750698726,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH
ERI,IDN,2025,,185.8535625317361,202.32780838543235,16.47424585369625,0.0,16.47424585369625,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW
ERI,IDN,2025,,185.8535625317361,199.66430755878685,13.810745027050746,0.0,13.810745027050746,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW
ERI,IDN,2025,,185.8535625317361,255.59782491834235,69.74426238660627,0.0,69.74426238660627,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH
