iso3,year,ethnic_group,share,count,total_pop,model_name,view_type,scenario_name,delta_migrants,delta_in,delta_out,delta_count,base_share,shock_share,delta_share,total_pop_shock
IDN,2025,Other,0.24732337876541574,72434584.55280863,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_LOW,99500.3375,99500.3375,0.0,99282.48970251268,0.2470683233118385,0.2474074323991777,0.0003391090873391,292873989.16506094
IDN,2025,"Sunda, Priangan",0.15183165794853729,44467543.344933145,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_external_LOW,99500.3375,99500.3375,0.0,49.35186864312095,0.1518830898523234,0.1518832584184742,1.685661508308135e-07,292873989.16506094
IDN,2025,"Banjar, Melayu Banjar",0.07290026874951086,21341569.747470245,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH,-24268.375000000007,33975.725,58244.100000000006,-4229.648168965054,0.0729086727505534,0.0728942259721271,-1.4446778426300122e-05,292750220.45256096
IDN,2025,Banten,0.02342678968429935,6858197.844574416,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH,-24268.375000000007,33975.725,58244.100000000006,-1364.6306560503897,0.0234295088438209,0.0234248478138878,-4.661029933021702e-06,292750220.45256096
IDN,2025,Betawi,0.03773488188551827,11046894.990736822,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH,-24268.375000000007,33975.725,58244.100000000006,-2198.089337777683,0.0377392617926568,0.0377317540027992,-7.507789857579835e-06,292750220.45256096
IDN,2025,"Bugis, Ugi",0.03374573902836006,9879072.539886998,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH,-24268.375000000007,33975.725,58244.100000000006,-1965.718333999437,0.0337496559136365,0.0337429418097476,-6.71410388887131e-06,292750220.45256096
IDN,2025,Jawa,0.37134388915448874,108711005.41368794,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH,-24268.375000000007,33975.725,58244.100000000006,-21607.26483394902,0.3713869098156411,0.3713131080820253,-7.380173361578412e-05,292750220.45256096
IDN,2025,Madura,0.030105760438238583,8813468.005186334,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH,-24268.375000000007,33975.725,58244.100000000006,-1736.8312384701392,0.0301091972587025,0.0301032649411517,-5.932317550704024e-06,292750220.45256096
IDN,2025,Minangkabau,0.03172169850697379,9286534.23104625,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH,-24268.375000000007,33975.725,58244.100000000006,-1847.8162320984256,0.0317253804608265,0.0317190690631377,-6.311397688706262e-06,292750220.45256096
IDN,2025,Other,0.24715545223867164,72354813.12892352,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH,-24268.375000000007,33975.725,58244.100000000006,19511.065817392395,0.2470683233118385,0.2471349652719885,6.66419601500323e-05,292750220.45256096
IDN,2025,"Sunda, Priangan",0.15186552031393874,44458664.55104844,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH,-24268.375000000007,33975.725,58244.100000000006,-8829.442016082257,0.1518830898523234,0.1518529320265803,-3.0157825743084616e-05,292750220.45256096
IDN,2025,"Banjar, Melayu Banjar",0.07289540732535926,21341579.49747356,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,-4610.991249999985,53633.10875000002,58244.100000000006,-4219.8981656477545,0.0729086727505534,0.0728942592742203,-1.4413476333087203e-05,292769877.836311
