iso3_dest,year,scenario_name,dest_ethnic_bucket,origin_ethnic_group,delta_migrants_ethnic
IDN,2025,Aid_HIGH,Other,"Central and West Africa, nfd",0.9671809021904582
IDN,2025,Aid_HIGH,Other,Chaldean,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Cham,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Channel Islander,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Chara,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Chilean,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Chin,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Chinese,2274.6888861381053
IDN,2025,Aid_HIGH,Other,"Chinese Asian, nec (incl. Hui, Manchu, Yi)",0.9671809021904582
IDN,2025,Aid_HIGH,Other,"Chinese Asian, nfd",0.9671809021904582
IDN,2025,Aid_HIGH,Other,Choro,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Churu,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Chut,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Cimaron,0.579413827758762
IDN,2025,Aid_HIGH,Other,Co,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Co Lao,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Coho,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Colombian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Cong,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Congo,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Cook Islander,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Coptic,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Costa Rican,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Cotabateño,0.579413827758762
IDN,2025,Aid_HIGH,Other,Cotabateño-Chavacano,0.579413827758762
IDN,2025,Aid_HIGH,Other,Cotu,0.021253839684597896
IDN,2025,Aid_HIGH,Other,"Creole, so described",0.9671809021904582
IDN,2025,Aid_HIGH,Other,Croatian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Cubans,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Cuyunon/Cuyunan,0.579413827758762
IDN,2025,Aid_HIGH,Other,Cypriot,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Czech,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Dai,113.02662259823626
IDN,2025,Aid_HIGH,Other,Danish,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Dao,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Darfu/Darfurian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Dasenech,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Daur,113.02662259823626
IDN,2025,Aid_HIGH,Other,Davao-Chavacano,0.579413827758762
IDN,2025,Aid_HIGH,Other,Davaweño,0.579413827758762
IDN,2025,Aid_HIGH,Other,Dawro,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Deang,113.02662259823626
IDN,2025,Aid_HIGH,Other,Debase/Gewada,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Derashe,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Diangan,0.579413827758762
IDN,2025,Aid_HIGH,Other,Dibabawon,0.579413827758762
IDN,2025,Aid_HIGH,Other,Dime,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Dinka,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Dizi,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Djebutians,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Dong,113.02662259823626
IDN,2025,Aid_HIGH,Other,Donga,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Dongxiang,113.02662259823626
IDN,2025,Aid_HIGH,Other,Drung,113.02662259823626
IDN,2025,Aid_HIGH,Other,Dumagat (Umiray),0.579413827758762
IDN,2025,Aid_HIGH,Other,Dumagat-Remontado,0.579413827758762
IDN,2025,Aid_HIGH,Other,Dutch,0.9671809021904582
IDN,2025,Aid_HIGH,Other,"Eastern European, nec (incl. Adygei, Khanty, Sorb/Wend)",0.9671809021904582
IDN,2025,Aid_HIGH,Other,"Eastern European, nfd",0.9671809021904582
IDN,2025,Aid_HIGH,Other,Ecuadorian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Ede,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Egyptian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Emirati,0.9671809021904582
IDN,2025,Aid_HIGH,Other,English,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Eritrean,1.0705248409579067
IDN,2025,Aid_HIGH,Other,Eskaya,0.579413827758762
IDN,2025,Aid_HIGH,Other,Estonian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Ethiopian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,"Eurasian, so described",0.9671809021904582
IDN,2025,Aid_HIGH,Other,"European, so described",0.9671809021904582
IDN,2025,Aid_HIGH,Other,Ewenki,113.02662259823626
IDN,2025,Aid_HIGH,Other,Fedashe,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Fijian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Fijian Indian/Indo-Fijian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Filipino,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Finnish,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Flemish,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Foreigners,113.04787643792086
IDN,2025,Aid_HIGH,Other,French,1.5465947299492202
IDN,2025,Aid_HIGH,Other,French Canadian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Frisian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Fulani,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Gaddang,0.579413827758762
IDN,2025,Aid_HIGH,Other,Gamo,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Gaoshan,113.02662259823626
IDN,2025,Aid_HIGH,Other,Gebato,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Gedeo,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Gedicho,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Gelao,113.02662259823626
IDN,2025,Aid_HIGH,Other,Georgian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,German,1.5465947299492202
IDN,2025,Aid_HIGH,Other,Ghanaian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Giarai,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Giay,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Gibraltarian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Gidole,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Gie Trieng,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Gio,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Goffa,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Greek,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Guagu,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Guatemalan,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Gubatnon,0.579413827758762
IDN,2025,Aid_HIGH,Other,Guiangan,0.579413827758762
IDN,2025,Aid_HIGH,Other,Gujarati,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Gumuz,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Guragie,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Gurkha,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Guyanese,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Ha Nhi,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Hadiya,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Hamer,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Hamtikanon,0.579413827758762
IDN,2025,Aid_HIGH,Other,Han,113.02662259823626
IDN,2025,Aid_HIGH,Other,Hani,113.02662259823626
IDN,2025,Aid_HIGH,Other,Hanunuo,0.579413827758762
IDN,2025,Aid_HIGH,Other,Hareri,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Hawaiian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Hazara,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Hezhen,113.02662259823626
IDN,2025,Aid_HIGH,Other,Higaonon,0.579413827758762
IDN,2025,Aid_HIGH,Other,Higaonon-Tagoloanon,0.579413827758762
IDN,2025,Aid_HIGH,Other,"Hiligaynon, ilonggo               ",0.579413827758762
IDN,2025,Aid_HIGH,Other,Hispanic,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Hmong,0.9884347418750561
IDN,2025,Aid_HIGH,Other,Hoa,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Hre,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Hui,113.02662259823626
IDN,2025,Aid_HIGH,Other,Hungarian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Hutu,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Ibaloi/Inibaloi,0.579413827758762
IDN,2025,Aid_HIGH,Other,Ibanag,0.579413827758762
IDN,2025,Aid_HIGH,Other,Ibatan,0.579413827758762
IDN,2025,Aid_HIGH,Other,Ibontoc,0.579413827758762
IDN,2025,Aid_HIGH,Other,Ibukid,0.579413827758762
IDN,2025,Aid_HIGH,Other,Icelandic,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Ifugao,0.579413827758762
IDN,2025,Aid_HIGH,Other,Igbo,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Ikalahan/Kalanguya,0.579413827758762
IDN,2025,Aid_HIGH,Other,Ilanun,0.579413827758762
IDN,2025,Aid_HIGH,Other,Illaud,0.579413827758762
IDN,2025,Aid_HIGH,Other,Ilocano,0.579413827758762
IDN,2025,Aid_HIGH,Other,Ilongot,0.579413827758762
IDN,2025,Aid_HIGH,Other,Imalawa,0.579413827758762
IDN,2025,Aid_HIGH,Other,Inadequately described,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Indian,2274.1094723103465
IDN,2025,Aid_HIGH,Other,Indian (indigenous),0.579413827758762
IDN,2025,Aid_HIGH,Other,Indian Tamil,4.520822897455098
IDN,2025,Aid_HIGH,Other,Indonesian,1.5465947299492202
IDN,2025,Aid_HIGH,Other,Iranian,3.5054966130936105
IDN,2025,Aid_HIGH,Other,Iranon,0.579413827758762
IDN,2025,Aid_HIGH,Other,Iraqi,3.5054966130936105
IDN,2025,Aid_HIGH,Other,Iraya,0.579413827758762
IDN,2025,Aid_HIGH,Other,Irish,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Irob,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Isamal Kanlaw,0.579413827758762
IDN,2025,Aid_HIGH,Other,Isarog,0.579413827758762
IDN,2025,Aid_HIGH,Other,Isinay,0.579413827758762
IDN,2025,Aid_HIGH,Other,Isnag,0.579413827758762
IDN,2025,Aid_HIGH,Other,Isneg,0.579413827758762
IDN,2025,Aid_HIGH,Other,Italian,1.5465947299492202
IDN,2025,Aid_HIGH,Other,Itawis,0.579413827758762
IDN,2025,Aid_HIGH,Other,Itawit,0.579413827758762
IDN,2025,Aid_HIGH,Other,Itneg,0.579413827758762
IDN,2025,Aid_HIGH,Other,Itneg/Tinguian,0.579413827758762
IDN,2025,Aid_HIGH,Other,Itneg/Tinguian-Adasen,0.579413827758762
IDN,2025,Aid_HIGH,Other,Itneg/Tinguian-Inlaud,0.579413827758762
IDN,2025,Aid_HIGH,Other,Itneg/Tinguian-Maeng,0.579413827758762
IDN,2025,Aid_HIGH,Other,Itneg/Tinguian-Masadiit,0.579413827758762
IDN,2025,Aid_HIGH,Other,Ivatan/Itbayat,0.579413827758762
IDN,2025,Aid_HIGH,Other,Ivoirean,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Iwak/owak,0.579413827758762
IDN,2025,Aid_HIGH,Other,Iyapplai,0.579413827758762
IDN,2025,Aid_HIGH,Other,Iyiwaks,0.579413827758762
IDN,2025,Aid_HIGH,Other,Jamaican,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Japanese,57.97950647596427
IDN,2025,Aid_HIGH,Other,Jewish,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Jing,113.02662259823626
IDN,2025,Aid_HIGH,Other,Jingpo,113.02662259823626
IDN,2025,Aid_HIGH,Other,Jino,113.02662259823626
IDN,2025,Aid_HIGH,Other,Jordanian,4.294682043211086
IDN,2025,Aid_HIGH,Other,Kaagan,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kabayukan,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kabihug,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kadazan,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Kagayanen,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kailawan/Kaylawan,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kalagan,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kalamianen,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kalinga,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kalinga-Lubuagan,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kalinga-Pinukpuk,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kamayo,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kamigin/Kinamiging,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kankaney,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kapampangan,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kapul,0.579413827758762
IDN,2025,Aid_HIGH,Other,Karaga,0.579413827758762
IDN,2025,Aid_HIGH,Other,Karao,0.579413827758762
IDN,2025,Aid_HIGH,Other,Karaya,0.579413827758762
IDN,2025,Aid_HIGH,Other,Karen,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Karo,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Karolanos,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kashmiri,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Kasigurahin,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kaunana,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kazak,113.99380350042672
IDN,2025,Aid_HIGH,Other,Kefficho,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Kembata,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Kenyan,1.0705248409579067
IDN,2025,Aid_HIGH,Other,Khang,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Khmer,0.9884347418750561
IDN,2025,Aid_HIGH,Other,Khome,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Khomu,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Kinalinga,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kinh,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Kiniraya,0.579413827758762
IDN,2025,Aid_HIGH,Other,Kiribati,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Kolibugan/Kalibugan,0.579413827758762
IDN,2025,Aid_HIGH,Other,Koma,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Konso,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Konta,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Kore,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Korean,171.00612907420054
IDN,2025,Aid_HIGH,Other,Koyego,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Krahn,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Kunama,1.0705248409579067
IDN,2025,Aid_HIGH,Other,Kurd,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Kusumie,0.10334393876744848
IDN,2025,Aid_HIGH,Other,Kuwaiti,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Kyrgyz,113.99380350042672
IDN,2025,Aid_HIGH,Other,La Chi,0.021253839684597896
IDN,2025,Aid_HIGH,Other,La Ha,0.021253839684597896
IDN,2025,Aid_HIGH,Other,Lahu,113.04787643792086
IDN,2025,Aid_HIGH,Other,Lambanguian,0.579413827758762
IDN,2025,Aid_HIGH,Other,Langi,0.579413827758762
IDN,2025,Aid_HIGH,Other,Lao,0.9884347418750561
IDN,2025,Aid_HIGH,Other,Laotian,56.43291174601505
IDN,2025,Aid_HIGH,Other,Latvian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Lebanese,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Lhoba,113.02662259823626
IDN,2025,Aid_HIGH,Other,Li,113.02662259823626
IDN,2025,Aid_HIGH,Other,Liberian,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Libyan,0.9671809021904582
IDN,2025,Aid_HIGH,Other,Ligbuk/Lugbok,0.579413827758762
IDN,2025,Aid_HIGH,Other,Lisu,113.02662259823626
IDN,2025,Aid_HIGH,Other,Lithuanian,0.9671809021904582
