iso3_orig,iso3_dest,year,migrant_stock_pred,model_name
IDN,KHM,2035,97.40886371919447,XGB_OD
IDN,KOR,2025,23399.675585848636,XGB_OD
IDN,KOR,2030,23447.727911853326,XGB_OD
IDN,KOR,2035,24972.255731520978,XGB_OD
IDN,KWT,2025,108403.52044762469,XGB_OD
IDN,KWT,2030,104958.0997345031,XGB_OD
IDN,KWT,2035,105858.5069430154,XGB_OD
IDN,LBY,2025,14927.661099934294,XGB_OD
IDN,LBY,2030,15177.235959548441,XGB_OD
IDN,LBY,2035,15363.872437206493,XGB_OD
IDN,LIE,2025,8.617518533765438,XGB_OD
IDN,LIE,2030,8.808212576239386,XGB_OD
IDN,LIE,2035,8.771320432454061,XGB_OD
IDN,LKA,2025,297.8583659010239,XGB_OD
IDN,LKA,2030,283.34423095791027,XGB_OD
IDN,LKA,2035,281.67978802047384,XGB_OD
IDN,LTU,2025,10.840398955423945,XGB_OD
IDN,LTU,2030,10.827087665862528,XGB_OD
IDN,LTU,2035,10.984746429152601,XGB_OD
IDN,LUX,2025,145.181078236436,XGB_OD
IDN,LUX,2030,143.55147514903587,XGB_OD
IDN,LUX,2035,143.55147514903587,XGB_OD
IDN,LVA,2025,1.5410137767019667,XGB_OD
IDN,LVA,2030,1.6959527605285447,XGB_OD
IDN,LVA,2035,1.681311742369123,XGB_OD
IDN,MEX,2025,194.29241234344215,XGB_OD
IDN,MEX,2030,196.01059015715327,XGB_OD
IDN,MEX,2035,196.01059015715327,XGB_OD
IDN,MLT,2025,101.23543378881776,XGB_OD
IDN,MLT,2030,100.05847313293043,XGB_OD
IDN,MLT,2035,97.78474515112595,XGB_OD
IDN,MYS,2025,2187546.0314948778,XGB_OD
IDN,MYS,2030,2612024.868318689,XGB_OD
IDN,MYS,2035,2642481.932774781,XGB_OD
IDN,NAM,2025,96.15334509033998,XGB_OD
IDN,NAM,2030,96.325924772792,XGB_OD
IDN,NAM,2035,96.325924772792,XGB_OD
IDN,NCL,2025,984.116863019931,XGB_OD
IDN,NCL,2030,988.0800272269297,XGB_OD
IDN,NCL,2035,995.7172270040985,XGB_OD
IDN,NLD,2025,107690.16015591148,XGB_OD
IDN,NLD,2030,107658.5324947503,XGB_OD
IDN,NLD,2035,107690.16015591148,XGB_OD
IDN,NOR,2025,2194.1653257182297,XGB_OD
IDN,NOR,2030,2181.574790217113,XGB_OD
