iso3_orig,iso3_dest,year,model_name,scenario,migrant_stock_pred,delta_in_od,delta_out_od,delta_stock_od,migrant_stock_shock
USA,TTO,2025,XGB_OD,Aid_LOW,9353.786151852011,0.0,0.0,0.0,9353.786151852011
USA,TTO,2025,XGB_OD,Aid_LOW__Conflict_external_HIGH,9353.786151852011,0.0,0.0,0.0,9353.786151852011
USA,TTO,2025,XGB_OD,Aid_LOW__Conflict_external_LOW,9353.786151852011,0.0,0.0,0.0,9353.786151852011
USA,TTO,2025,XGB_OD,Aid_LOW__Conflict_internal_HIGH,9353.786151852011,0.0,4646.438395495911,4646.438395495911,14000.224547347923
USA,TTO,2025,XGB_OD,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,9353.786151852011,0.0,4646.438395495911,4646.438395495911,14000.224547347923
USA,TTO,2025,XGB_OD,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,9353.786151852011,0.0,4646.438395495911,4646.438395495911,14000.224547347923
USA,TTO,2025,XGB_OD,Aid_LOW__Conflict_internal_LOW,9353.786151852011,0.0,1548.8127984986365,1548.8127984986365,10902.598950350648
USA,TTO,2025,XGB_OD,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,9353.786151852011,0.0,1548.8127984986365,1548.8127984986365,10902.598950350648
USA,TTO,2025,XGB_OD,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,9353.786151852011,0.0,1548.8127984986365,1548.8127984986365,10902.598950350648
USA,TTO,2025,XGB_OD,Conflict_external_HIGH,9353.786151852011,0.0,0.0,0.0,9353.786151852011
USA,TTO,2025,XGB_OD,Conflict_external_LOW,9353.786151852011,0.0,0.0,0.0,9353.786151852011
USA,TTO,2025,XGB_OD,Conflict_internal_HIGH,9353.786151852011,0.0,4646.438395495911,4646.438395495911,14000.224547347923
USA,TTO,2025,XGB_OD,Conflict_internal_HIGH__Conflict_external_HIGH,9353.786151852011,0.0,4646.438395495911,4646.438395495911,14000.224547347923
USA,TTO,2025,XGB_OD,Conflict_internal_HIGH__Conflict_external_LOW,9353.786151852011,0.0,4646.438395495911,4646.438395495911,14000.224547347923
USA,TTO,2025,XGB_OD,Conflict_internal_LOW,9353.786151852011,0.0,1548.8127984986365,1548.8127984986365,10902.598950350648
USA,TTO,2025,XGB_OD,Conflict_internal_LOW__Conflict_external_HIGH,9353.786151852011,0.0,1548.8127984986365,1548.8127984986365,10902.598950350648
USA,TTO,2025,XGB_OD,Conflict_internal_LOW__Conflict_external_LOW,9353.786151852011,0.0,1548.8127984986365,1548.8127984986365,10902.598950350648
USA,TUN,2025,XGB_OD,Aid_HIGH,657.6516544255155,0.0,0.0,0.0,657.6516544255155
USA,TUN,2025,XGB_OD,Aid_HIGH__Conflict_external_HIGH,657.6516544255155,0.0,0.0,0.0,657.6516544255155
USA,TUN,2025,XGB_OD,Aid_HIGH__Conflict_external_LOW,657.6516544255155,0.0,0.0,0.0,657.6516544255155
USA,TUN,2025,XGB_OD,Aid_HIGH__Conflict_internal_HIGH,657.6516544255155,0.0,339.4452135265396,339.4452135265396,997.0968679520552
USA,TUN,2025,XGB_OD,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,657.6516544255155,0.0,339.4452135265396,339.4452135265396,997.0968679520552
USA,TUN,2025,XGB_OD,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,657.6516544255155,0.0,339.4452135265396,339.4452135265396,997.0968679520552
USA,TUN,2025,XGB_OD,Aid_HIGH__Conflict_internal_LOW,657.6516544255155,0.0,113.14840450884648,113.14840450884648,770.800058934362
USA,TUN,2025,XGB_OD,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,657.6516544255155,0.0,113.14840450884648,113.14840450884648,770.800058934362
USA,TUN,2025,XGB_OD,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,657.6516544255155,0.0,113.14840450884648,113.14840450884648,770.800058934362
USA,TUN,2025,XGB_OD,Aid_LOW,657.6516544255155,0.0,0.0,0.0,657.6516544255155
USA,TUN,2025,XGB_OD,Aid_LOW__Conflict_external_HIGH,657.6516544255155,0.0,0.0,0.0,657.6516544255155
USA,TUN,2025,XGB_OD,Aid_LOW__Conflict_external_LOW,657.6516544255155,0.0,0.0,0.0,657.6516544255155
USA,TUN,2025,XGB_OD,Aid_LOW__Conflict_internal_HIGH,657.6516544255155,0.0,339.4452135265396,339.4452135265396,997.0968679520552
USA,TUN,2025,XGB_OD,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,657.6516544255155,0.0,339.4452135265396,339.4452135265396,997.0968679520552
USA,TUN,2025,XGB_OD,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,657.6516544255155,0.0,339.4452135265396,339.4452135265396,997.0968679520552
USA,TUN,2025,XGB_OD,Aid_LOW__Conflict_internal_LOW,657.6516544255155,0.0,113.14840450884648,113.14840450884648,770.800058934362
USA,TUN,2025,XGB_OD,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,657.6516544255155,0.0,113.14840450884648,113.14840450884648,770.800058934362
USA,TUN,2025,XGB_OD,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,657.6516544255155,0.0,113.14840450884648,113.14840450884648,770.800058934362
USA,TUN,2025,XGB_OD,Conflict_external_HIGH,657.6516544255155,0.0,0.0,0.0,657.6516544255155
USA,TUN,2025,XGB_OD,Conflict_external_LOW,657.6516544255155,0.0,0.0,0.0,657.6516544255155
USA,TUN,2025,XGB_OD,Conflict_internal_HIGH,657.6516544255155,0.0,339.4452135265396,339.4452135265396,997.0968679520552
USA,TUN,2025,XGB_OD,Conflict_internal_HIGH__Conflict_external_HIGH,657.6516544255155,0.0,339.4452135265396,339.4452135265396,997.0968679520552
USA,TUN,2025,XGB_OD,Conflict_internal_HIGH__Conflict_external_LOW,657.6516544255155,0.0,339.4452135265396,339.4452135265396,997.0968679520552
USA,TUN,2025,XGB_OD,Conflict_internal_LOW,657.6516544255155,0.0,113.14840450884648,113.14840450884648,770.800058934362
USA,TUN,2025,XGB_OD,Conflict_internal_LOW__Conflict_external_HIGH,657.6516544255155,0.0,113.14840450884648,113.14840450884648,770.800058934362
USA,TUN,2025,XGB_OD,Conflict_internal_LOW__Conflict_external_LOW,657.6516544255155,0.0,113.14840450884648,113.14840450884648,770.800058934362
USA,TUR,2025,XGB_OD,Aid_HIGH,35413.559899449545,0.0,0.0,0.0,35413.559899449545
USA,TUR,2025,XGB_OD,Aid_HIGH__Conflict_external_HIGH,35413.559899449545,0.0,0.0,0.0,35413.559899449545
USA,TUR,2025,XGB_OD,Aid_HIGH__Conflict_external_LOW,35413.559899449545,0.0,0.0,0.0,35413.559899449545
USA,TUR,2025,XGB_OD,Aid_HIGH__Conflict_internal_HIGH,35413.559899449545,0.0,16835.379519323305,16835.379519323305,52248.93941877285
USA,TUR,2025,XGB_OD,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,35413.559899449545,0.0,16835.379519323305,16835.379519323305,52248.93941877285
USA,TUR,2025,XGB_OD,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,35413.559899449545,0.0,16835.379519323305,16835.379519323305,52248.93941877285
USA,TUR,2025,XGB_OD,Aid_HIGH__Conflict_internal_LOW,35413.559899449545,0.0,5611.793173107766,5611.793173107766,41025.35307255731
USA,TUR,2025,XGB_OD,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,35413.559899449545,0.0,5611.793173107766,5611.793173107766,41025.35307255731
USA,TUR,2025,XGB_OD,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,35413.559899449545,0.0,5611.793173107766,5611.793173107766,41025.35307255731
USA,TUR,2025,XGB_OD,Aid_LOW,35413.559899449545,0.0,0.0,0.0,35413.559899449545
USA,TUR,2025,XGB_OD,Aid_LOW__Conflict_external_HIGH,35413.559899449545,0.0,0.0,0.0,35413.559899449545
USA,TUR,2025,XGB_OD,Aid_LOW__Conflict_external_LOW,35413.559899449545,0.0,0.0,0.0,35413.559899449545
