iso3,ethnic_group,year,scenario,base_share,shock_share,delta_share,total_pop_interp,delta_count,delta_migrants_2025,delta_in,delta_out
MYS,Malay,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.5148221738398489,0.5140968203877843,-0.0007253534520646021,34656814.73002449,-25138.440201986614,329162.9049999999,386037.7049999999,56874.8
MYS,Malay,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.5148221738398489,0.5123058402787669,-0.0025163335610818944,34656814.73002449,-87208.10602535796,-111616.79500000001,59007.60500000001,170624.40000000002
MYS,Malay,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.5148221738398489,0.5123159648372565,-0.002506209002592339,34656814.73002449,-86857.22107756215,-78913.78499999999,91710.61500000003,170624.40000000002
MYS,Malay,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.5148221738398489,0.514049719180898,-0.0007724546589507928,34656814.73002449,-26770.818002601878,177022.815,233897.615,56874.8
MYS,Malay,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,0.5148221738398489,0.5141329166397904,-0.0006892572000583625,34656814.73002449,-23887.459083758094,445756.2449999999,502631.04499999987,56874.8
MYS,Malay,2025,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,0.5148221738398489,0.5123243286029653,-0.0024978452368835764,34656814.73002449,-86567.35959894823,-51898.25500000002,118726.145,170624.40000000002
MYS,Malay,2025,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,0.5148221738398489,0.5123362139542357,-0.0024859598856132293,34656814.73002449,-86155.45118197055,-13507.764999999956,157116.63500000007,170624.40000000002
MYS,Non-Malaysian citizens,2025,Aid_LOW,0.0922756456785267,0.09279108912607337,0.0005154434475466686,34656814.73002449,17863.62806542999,42656.1,42656.1,0.0
MYS,Non-Malaysian citizens,2025,Aid_HIGH,0.0922756456785267,0.09347834705613559,0.0012027013776088936,34656814.73002449,41681.79881933665,99530.9,99530.9,0.0
MYS,Non-Malaysian citizens,2025,Conflict_internal_LOW,0.0922756456785267,0.09212421344409545,-0.00015143223443123862,34656814.73002449,-5248.158892837072,-56874.8,0.0,56874.8
MYS,Non-Malaysian citizens,2025,Conflict_internal_HIGH,0.0922756456785267,0.09182134897523297,-0.0004542967032937159,34656814.73002449,-15744.476678511217,-170624.40000000002,0.0,170624.40000000002
MYS,Non-Malaysian citizens,2025,Conflict_external_LOW,0.0922756456785267,0.09399379050368226,0.0017181448251555626,34656814.73002449,59545.426884766646,142187.0,142187.0,0.0
MYS,Non-Malaysian citizens,2025,Conflict_external_HIGH,0.0922756456785267,0.09743008015399339,0.005154434475466688,34656814.73002449,178636.28065429995,426561.0,426561.0,0.0
MYS,Non-Malaysian citizens,2025,Aid_LOW__Conflict_internal_LOW,0.0922756456785267,0.09263965689164212,0.00036401121311543006,34656814.73002449,12615.469172592919,-14218.700000000004,42656.1,56874.8
MYS,Non-Malaysian citizens,2025,Aid_LOW__Conflict_internal_HIGH,0.0922756456785267,0.09233679242277965,6.11467442529528e-05,34656814.73002449,2119.1513869187747,-127968.30000000002,42656.1,170624.40000000002
MYS,Non-Malaysian citizens,2025,Aid_HIGH__Conflict_internal_LOW,0.0922756456785267,0.09332691482170435,0.0010512691431776551,34656814.73002449,36433.63992649958,42656.09999999999,99530.9,56874.8
MYS,Non-Malaysian citizens,2025,Aid_HIGH__Conflict_internal_HIGH,0.0922756456785267,0.09302405035284188,0.0007484046743151777,34656814.73002449,25937.322140825432,-71093.50000000003,99530.9,170624.40000000002
MYS,Non-Malaysian citizens,2025,Aid_LOW__Conflict_external_LOW,0.0922756456785267,0.09476695567500226,0.0024913099964755654,34656814.73002449,86340.86898291163,206171.15,206171.15,0.0
MYS,Non-Malaysian citizens,2025,Aid_LOW__Conflict_external_HIGH,0.0922756456785267,0.09871868877286005,0.006443043094333358,34656814.73002449,223295.35081787486,533201.2499999999,533201.2499999999,0.0
MYS,Non-Malaysian citizens,2025,Aid_HIGH__Conflict_external_LOW,0.0922756456785267,0.0957978425700956,0.003522196891568903,34656814.73002449,122068.12511377162,291483.35,291483.35,0.0
MYS,Non-Malaysian citizens,2025,Aid_HIGH__Conflict_external_HIGH,0.0922756456785267,0.10043683359801561,0.008161187919488923,34656814.73002449,282840.7777026416,675388.2500000001,675388.2500000001,0.0
