iso3_orig,iso3_dest,MAE,RMSE,n,model_name
UKR,USA,24313.869508728967,24313.869508728967,1.0,RF_OD
USA,ABW,51.52034892240749,51.52034892240749,1.0,RF_OD
USA,AIA,24.770706359577503,24.770706359577503,1.0,RF_OD
USA,ALB,4.126304600801632,4.126304600801632,1.0,RF_OD
USA,AND,5.296967088546026,5.296967088546026,1.0,RF_OD
USA,ARE,931.3987458343472,931.3987458343472,1.0,RF_OD
USA,ARG,94.95835009810071,94.95835009810071,1.0,RF_OD
USA,ASM,60.63624405105202,60.63624405105202,1.0,RF_OD
USA,ATG,53.06936602254473,53.06936602254473,1.0,RF_OD
USA,AUS,18966.016546519473,18966.016546519473,1.0,RF_OD
USA,AUT,244.87528664404454,244.87528664404454,1.0,RF_OD
USA,BEL,259.6303412289526,259.6303412289526,1.0,RF_OD
USA,BGD,5293.543830144714,5293.543830144714,1.0,RF_OD
USA,BGR,700.1239706195097,700.1239706195097,1.0,RF_OD
USA,BHR,7.234552114542339,7.234552114542339,1.0,RF_OD
USA,BHS,232.05560347971732,232.05560347971732,1.0,RF_OD
USA,BLR,0.2561684822599375,0.2561684822599375,1.0,RF_OD
USA,BLZ,276.26559469088716,276.26559469088716,1.0,RF_OD
USA,BMU,58.67148474174746,58.67148474174746,1.0,RF_OD
USA,BOL,307.80911430481046,307.80911430481046,1.0,RF_OD
USA,BRA,876.7805724120517,876.7805724120517,1.0,RF_OD
USA,BRB,22.897715279784506,22.897715279784506,1.0,RF_OD
USA,BRN,0.314087939216563,0.314087939216563,1.0,RF_OD
USA,BTN,1.539178101553432,1.539178101553432,1.0,RF_OD
USA,BWA,26.685140270903617,26.685140270903617,1.0,RF_OD
USA,CAN,24036.84412817497,24036.84412817497,1.0,RF_OD
USA,CHE,1835.8935700795118,1835.8935700795118,1.0,RF_OD
USA,CHL,1378.5782019739581,1378.5782019739581,1.0,RF_OD
USA,CHN,1219.7733184471144,1219.7733184471144,1.0,RF_OD
USA,CMR,63.81017512053279,63.81017512053279,1.0,RF_OD
USA,COG,0.01735037282892904,0.01735037282892904,1.0,RF_OD
USA,COK,1.3473592346858254,1.3473592346858254,1.0,RF_OD
USA,COL,718.8418732047539,718.8418732047539,1.0,RF_OD
USA,CPV,12.094124669873338,12.094124669873338,1.0,RF_OD
USA,CRI,1580.0006714221272,1580.0006714221272,1.0,RF_OD
USA,CUB,1.6964778620358345,1.6964778620358345,1.0,RF_OD
USA,CUW,29.512769456569686,29.512769456569686,1.0,RF_OD
USA,CYM,103.02942382148194,103.02942382148194,1.0,RF_OD
USA,CYP,29.28399274638832,29.28399274638832,1.0,RF_OD
USA,CZE,355.4125885026706,355.4125885026706,1.0,RF_OD
USA,DEU,3006.040685541957,3006.040685541957,1.0,RF_OD
USA,DMA,19.20112768602769,19.20112768602769,1.0,RF_OD
USA,DNK,714.3446266196479,714.3446266196479,1.0,RF_OD
USA,DOM,41.42739520239775,41.42739520239775,1.0,RF_OD
USA,DZA,12.004700881004283,12.004700881004283,1.0,RF_OD
USA,ECU,1180.041470953107,1180.041470953107,1.0,RF_OD
USA,EGY,8539.65180012819,8539.65180012819,1.0,RF_OD
USA,ESP,5974.621613978299,5974.621613978299,1.0,RF_OD
USA,EST,11.626932338103416,11.626932338103416,1.0,RF_OD
USA,FIN,325.23613974755335,325.23613974755335,1.0,RF_OD
USA,FLK,1.2788566138497153,1.2788566138497153,1.0,RF_OD
USA,FRA,523.1557483728466,523.1557483728466,1.0,RF_OD
USA,FRO,5.424525326133569,5.424525326133569,1.0,RF_OD
USA,GAB,16.834565731902217,16.834565731902217,1.0,RF_OD
USA,GBR,5182.02962048864,5182.02962048864,1.0,RF_OD
USA,GEO,4.822527426173352,4.822527426173352,1.0,RF_OD
USA,GHA,42.81078898253577,42.81078898253577,1.0,RF_OD
USA,GIN,13.01934684849897,13.01934684849897,1.0,RF_OD
USA,GLP,5.177756209612596,5.177756209612596,1.0,RF_OD
USA,GNB,4.801152433063152,4.801152433063152,1.0,RF_OD
USA,GRC,593.6911960806465,593.6911960806465,1.0,RF_OD
USA,GRL,0.9488199265029564,0.9488199265029564,1.0,RF_OD
USA,GTM,234.8046049987188,234.8046049987188,1.0,RF_OD
USA,GUM,478.51083421513977,478.51083421513977,1.0,RF_OD
USA,GUY,187.0820391161094,187.0820391161094,1.0,RF_OD
USA,HKG,198.3548927768752,198.3548927768752,1.0,RF_OD
USA,HND,330.9998750631321,330.9998750631321,1.0,RF_OD
USA,HRV,3.548216526935903,3.548216526935903,1.0,RF_OD
USA,HTI,54.46553822447322,54.46553822447322,1.0,RF_OD
USA,HUN,344.7599566366225,344.7599566366225,1.0,RF_OD
USA,IDN,265.0491848738809,265.0491848738809,1.0,RF_OD
USA,IMN,1.795102700738056,1.795102700738056,1.0,RF_OD
USA,IND,767.6810423508578,767.6810423508578,1.0,RF_OD
USA,IRL,2065.8685796484933,2065.8685796484933,1.0,RF_OD
USA,ISL,400.41072812786024,400.41072812786024,1.0,RF_OD
USA,ISR,16702.816964021302,16702.816964021302,1.0,RF_OD
USA,ITA,1126.0535531293208,1126.0535531293208,1.0,RF_OD
USA,JAM,52.280968441314144,52.280968441314144,1.0,RF_OD
USA,JPN,47188.30967207189,47188.30967207189,1.0,RF_OD
USA,KAZ,23.96385082721781,23.96385082721781,1.0,RF_OD
USA,KHM,15.00833670397472,15.00833670397472,1.0,RF_OD
USA,KIR,1.7762437001686209,1.7762437001686209,1.0,RF_OD
USA,KOR,11492.635071209923,11492.635071209923,1.0,RF_OD
USA,KWT,329.311713241942,329.311713241942,1.0,RF_OD
USA,LBR,4.331239249051293,4.331239249051293,1.0,RF_OD
USA,LBY,114.6208740258935,114.6208740258935,1.0,RF_OD
USA,LCA,53.285753991685624,53.285753991685624,1.0,RF_OD
USA,LIE,2.2870753280189717,2.2870753280189717,1.0,RF_OD
USA,LKA,7.798664012384847,7.798664012384847,1.0,RF_OD
USA,LSO,9.034819435037804,9.034819435037804,1.0,RF_OD
USA,LTU,14.531213798663543,14.531213798663543,1.0,RF_OD
USA,LUX,531.5328836089197,531.5328836089197,1.0,RF_OD
USA,LVA,23.276847284761686,23.276847284761686,1.0,RF_OD
USA,MAR,4.44436676755322,4.44436676755322,1.0,RF_OD
USA,MDA,0.055210201946181314,0.055210201946181314,1.0,RF_OD
USA,MDV,1.1849470324797906,1.1849470324797906,1.0,RF_OD
USA,MEX,195214.11815380573,195214.11815380573,1.0,RF_OD
USA,MHL,13.449837152010332,13.449837152010332,1.0,RF_OD
USA,MLI,118.81301986261337,118.81301986261337,1.0,RF_OD
USA,MLT,96.52878226199027,96.52878226199027,1.0,RF_OD
USA,MNE,0.23862809092025827,0.23862809092025827,1.0,RF_OD
USA,MNG,26.379405457707094,26.379405457707094,1.0,RF_OD
USA,MRT,4.221155893119089,4.221155893119089,1.0,RF_OD
USA,MSR,0.9589166930368549,0.9589166930368549,1.0,RF_OD
USA,MUS,0.07214637207196972,0.07214637207196972,1.0,RF_OD
USA,NAM,25.46760807103692,25.46760807103692,1.0,RF_OD
USA,NIC,235.5723273553226,235.5723273553226,1.0,RF_OD
USA,NIU,0.42664769622655463,0.42664769622655463,1.0,RF_OD
USA,NLD,3240.6084316912747,3240.6084316912747,1.0,RF_OD
USA,NOR,477.912069201775,477.912069201775,1.0,RF_OD
USA,NZL,33.56892669817171,33.56892669817171,1.0,RF_OD
USA,PAN,2314.7543452509417,2314.7543452509417,1.0,RF_OD
USA,PER,396.4180285732782,396.4180285732782,1.0,RF_OD
USA,PHL,76.21810641286538,76.21810641286538,1.0,RF_OD
USA,PLW,12.950430324068805,12.950430324068805,1.0,RF_OD
USA,PNG,1.47215046998474,1.47215046998474,1.0,RF_OD
USA,POL,960.2934613886682,960.2934613886682,1.0,RF_OD
USA,PRI,10165.94502578015,10165.94502578015,1.0,RF_OD
USA,PRK,4.775227917718212,4.775227917718212,1.0,RF_OD
USA,PRT,601.2550849969466,601.2550849969466,1.0,RF_OD
USA,PRY,81.63466239813579,81.63466239813579,1.0,RF_OD
USA,PSE,415.34362105773744,415.34362105773744,1.0,RF_OD
USA,QAT,172.9841489450564,172.9841489450564,1.0,RF_OD
USA,ROU,634.1175115224833,634.1175115224833,1.0,RF_OD
USA,RUS,297.9230979949889,297.9230979949889,1.0,RF_OD
USA,SEN,33.356885498412225,33.356885498412225,1.0,RF_OD
USA,SGP,464.5837904814689,464.5837904814689,1.0,RF_OD
USA,SLB,0.577364388937113,0.577364388937113,1.0,RF_OD
USA,SLE,2.0827605417277653,2.0827605417277653,1.0,RF_OD
USA,SLV,356.66520205658617,356.66520205658617,1.0,RF_OD
USA,SRB,68.6196056764752,68.6196056764752,1.0,RF_OD
USA,SVK,20.088754287997745,20.088754287997745,1.0,RF_OD
USA,SVN,33.82672738599524,33.82672738599524,1.0,RF_OD
USA,SWE,601.961553443758,601.961553443758,1.0,RF_OD
USA,SWZ,7.352568585052921,7.352568585052921,1.0,RF_OD
USA,SXM,14.712825496160349,14.712825496160349,1.0,RF_OD
USA,TGO,2.371037254564186,2.371037254564186,1.0,RF_OD
USA,THA,1176.193685772043,1176.193685772043,1.0,RF_OD
USA,TJK,11.958144835539485,11.958144835539485,1.0,RF_OD
USA,TLS,0.4493118131753562,0.4493118131753562,1.0,RF_OD
USA,TTO,1397.8217810323076,1397.8217810323076,1.0,RF_OD
USA,TUN,26.204611271309204,26.204611271309204,1.0,RF_OD
USA,TUR,1049.7807004438546,1049.7807004438546,1.0,RF_OD
USA,TUV,0.019472581783062548,0.019472581783062548,1.0,RF_OD
USA,TZA,61.114673943417074,61.114673943417074,1.0,RF_OD
USA,UGA,18.517543300989246,18.517543300989246,1.0,RF_OD
USA,UKR,53.69854630062355,53.69854630062355,1.0,RF_OD
USA,URY,42.42037716306913,42.42037716306913,1.0,RF_OD
USA,VEN,282.03269021030064,282.03269021030064,1.0,RF_OD
USA,VGB,16.402956865279066,16.402956865279066,1.0,RF_OD
USA,WSM,9.116601557356773,9.116601557356773,1.0,RF_OD
USA,ZMB,108.35739038378688,108.35739038378688,1.0,RF_OD
VEN,USA,60597.255420881906,60597.255420881906,1.0,RF_OD
VNM,IDN,4.502859686338111,4.502859686338111,1.0,RF_OD
VNM,MYS,0.8249463796326317,0.8249463796326317,1.0,RF_OD
VNM,USA,85660.18826739513,85660.18826739513,1.0,RF_OD
YEM,IDN,25.410555218085392,25.410555218085392,1.0,RF_OD
YEM,MYS,3400.3180343207823,3400.3180343207823,1.0,RF_OD
AFG,IDN,2738.9794921874955,2738.9794921874955,1.0,XGB_OD
AFG,MYS,375.2106933593759,375.2106933593759,1.0,XGB_OD
AFG,USA,23289.718750000116,23289.718750000116,1.0,XGB_OD
ARG,USA,2633.1093750001164,2633.1093750001164,1.0,XGB_OD
AUS,IDN,217.071533203125,217.071533203125,1.0,XGB_OD
AUS,MYS,312.87109375000455,312.87109375000455,1.0,XGB_OD
BGD,MYS,26727.812499999884,26727.812499999884,1.0,XGB_OD
BGD,USA,22320.28124999971,22320.28124999971,1.0,XGB_OD
BRA,USA,77467.06249999953,77467.06249999953,1.0,XGB_OD
BRN,MYS,592.3544921874964,592.3544921874964,1.0,XGB_OD
CAN,USA,16316.062499999534,16316.062499999534,1.0,XGB_OD
CHN,IDN,19418.98046875006,19418.98046875006,1.0,XGB_OD
CHN,MYS,642.6816406249782,642.6816406249782,1.0,XGB_OD
CHN,USA,184453.4999999986,184453.4999999986,1.0,XGB_OD
COL,USA,50920.81250000035,50920.81250000035,1.0,XGB_OD
CUB,USA,110784.12500000116,110784.12500000116,1.0,XGB_OD
DEU,USA,14519.624999999534,14519.624999999534,1.0,XGB_OD
DOM,USA,142868.24999999977,142868.24999999977,1.0,XGB_OD
ECU,USA,64024.968750000466,64024.968750000466,1.0,XGB_OD
EGY,USA,9254.656249999884,9254.656249999884,1.0,XGB_OD
ERI,IDN,30.239379882812557,30.239379882812557,1.0,XGB_OD
ESP,USA,5868.749999999884,5868.749999999884,1.0,XGB_OD
ETH,IDN,113.7684020996094,113.7684020996094,1.0,XGB_OD
ETH,USA,47543.84374999977,47543.84374999977,1.0,XGB_OD
FRA,USA,21138.46875,21138.46875,1.0,XGB_OD
GBR,IDN,195.85302734375,195.85302734375,1.0,XGB_OD
GBR,MYS,36.57275390625091,36.57275390625091,1.0,XGB_OD
GBR,USA,18418.749999999534,18418.749999999534,1.0,XGB_OD
GHA,USA,11635.578124999825,11635.578124999825,1.0,XGB_OD
GRC,USA,1975.7109375000873,1975.7109375000873,1.0,XGB_OD
