iso3,year,scenario,ethnic_bucket,migrant_pred_bucket,migrant_shock_bucket,delta_migrants_bucket,delta_in_bucket,delta_out_bucket
ALB,2025,AID_LOW__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_LOW,Other,2101.994004621369,3161.9455281001774,1059.951523478808,0.0,1059.951523478808
ALB,2025,AID_LOW__CONFLICT_INTERNAL_LOW,Other,2101.994004621369,2455.311179114305,353.31717449293586,0.0,353.31717449293586
ALB,2025,AID_LOW__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_HIGH,Other,2101.994004621369,2455.311179114305,353.31717449293586,0.0,353.31717449293586
ALB,2025,AID_LOW__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_LOW,Other,2101.994004621369,2455.311179114305,353.31717449293586,0.0,353.31717449293586
ALB,2025,CONFLICT_EXTERNAL_HIGH,Other,2101.994004621369,2101.994004621369,0.0,0.0,0.0
ALB,2025,CONFLICT_EXTERNAL_LOW,Other,2101.994004621369,2101.994004621369,0.0,0.0,0.0
ALB,2025,CONFLICT_INTERNAL_HIGH,Other,2101.994004621369,3161.9455281001774,1059.951523478808,0.0,1059.951523478808
ALB,2025,CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_HIGH,Other,2101.994004621369,3161.9455281001774,1059.951523478808,0.0,1059.951523478808
ALB,2025,CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_LOW,Other,2101.994004621369,3161.9455281001774,1059.951523478808,0.0,1059.951523478808
ALB,2025,CONFLICT_INTERNAL_LOW,Other,2101.994004621369,2455.311179114305,353.31717449293586,0.0,353.31717449293586
ALB,2025,CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_HIGH,Other,2101.994004621369,2455.311179114305,353.31717449293586,0.0,353.31717449293586
ALB,2025,CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_LOW,Other,2101.994004621369,2455.311179114305,353.31717449293586,0.0,353.31717449293586
AND,2025,AID_HIGH,Other,119.94279314109914,119.94279314109914,0.0,0.0,0.0
AND,2025,AID_HIGH__CONFLICT_EXTERNAL_HIGH,Other,119.94279314109914,119.94279314109914,0.0,0.0,0.0
AND,2025,AID_HIGH__CONFLICT_EXTERNAL_LOW,Other,119.94279314109914,119.94279314109914,0.0,0.0,0.0
AND,2025,AID_HIGH__CONFLICT_INTERNAL_HIGH,Other,119.94279314109914,179.6089385024917,59.66614536139256,0.0,59.66614536139256
AND,2025,AID_HIGH__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_HIGH,Other,119.94279314109914,179.6089385024917,59.66614536139256,0.0,59.66614536139256
