iso3,year,ethnic_group,share,model_name,type,total_pop_interp,count
IDN,2010,Madura,0.030327398980753314,HIST,historical,236728379.0,7179355.999999984
IDN,2010,Minangkabau,0.02730011934901981,HIST,historical,236728379.0,6462712.999999995
IDN,2010,Other,0.26971689355419454,HIST,historical,236728379.0,63849643.00000002
IDN,2010,"Sunda, Priangan",0.15503705197930664,HIST,historical,236728379.0,36701670.0
IDN,2015,"Banjar, Melayu Banjar",0.04009879609744632,HIST,historical,236728379.0,9492522.999999994
IDN,2015,Banten,0.01967564691515081,HIST,historical,236728379.0,4657784.000000002
IDN,2015,Betawi,0.028758562994257615,HIST,historical,236728379.0,6807967.999999992
IDN,2015,"Bugis, Ugi",0.02686496662066861,HIST,historical,236728379.0,6359699.999999988
IDN,2015,Jawa,0.4022205635092024,HIST,historical,236728379.0,95217022.00000003
IDN,2015,Madura,0.030327398980753314,HIST,historical,236728379.0,7179355.999999984
IDN,2015,Minangkabau,0.02730011934901981,HIST,historical,236728379.0,6462712.999999995
IDN,2015,Other,0.26971689355419454,HIST,historical,236728379.0,63849643.00000002
IDN,2015,"Sunda, Priangan",0.15503705197930664,HIST,historical,236728379.0,36701670.0
IDN,2020,"Banjar, Melayu Banjar",0.04009879609744632,HIST,historical,236728379.0,9492522.999999994
IDN,2020,Banten,0.01967564691515081,HIST,historical,236728379.0,4657784.000000002
IDN,2020,Betawi,0.028758562994257615,HIST,historical,236728379.0,6807967.999999992
IDN,2020,"Bugis, Ugi",0.02686496662066861,HIST,historical,236728379.0,6359699.999999988
IDN,2020,Jawa,0.4022205635092024,HIST,historical,236728379.0,95217022.00000003
IDN,2020,Madura,0.030327398980753314,HIST,historical,236728379.0,7179355.999999984
IDN,2020,Minangkabau,0.02730011934901981,HIST,historical,236728379.0,6462712.999999995
IDN,2020,Other,0.26971689355419454,HIST,historical,236728379.0,63849643.00000002
IDN,2020,"Sunda, Priangan",0.15503705197930664,HIST,historical,236728379.0,36701670.0
IDN,2024,"Banjar, Melayu Banjar",0.07189613035197703,HIST,historical,286618976.4000015,20606795.28860474
IDN,2024,Banten,0.018585803860998007,HIST,historical,286618976.4000015,5327044.078210445
IDN,2024,Betawi,0.03392042365170851,HIST,historical,286618976.4000015,9722237.106107095
IDN,2024,"Bugis, Ugi",0.02959345863816641,HIST,historical,286618976.4000015,8482046.82300704
IDN,2024,Jawa,0.3822437228315487,HIST,historical,286618976.4000015,109558304.57330438
IDN,2024,Madura,0.025641134298881808,HIST,historical,286618976.4000015,7349235.666480474
IDN,2024,Minangkabau,0.027402440238133912,HIST,historical,286618976.4000015,7854059.371916156
IDN,2024,Other,0.254298969027983,HIST,historical,286618976.4000015,72886910.20237617
IDN,2024,"Sunda, Priangan",0.15641791710060265,HIST,historical,286618976.4000015,44832343.28999503
MYS,2000,Chinese,0.24455354722232606,HIST,historical,23274690.0,5691908.0
MYS,2000,Indian,0.07218708390960302,HIST,historical,23274690.0,1680131.9999999981
MYS,2000,Malay,0.5018507657889322,HIST,historical,23274690.0,11680421.000000002
MYS,2000,Non-Malaysian citizens,0.05949699007806331,HIST,historical,23274690.0,1384773.9999999993
MYS,2000,Other,0.011587565720531602,HIST,historical,23274690.0,269696.9999999997
MYS,2000,Other Bumi,0.11032404728054383,HIST,historical,23274690.0,2567758.000000001
MYS,2005,Chinese,0.23494681249403396,HIST,historical,25379643.0,5962866.225086521
MYS,2005,Indian,0.06980511624899892,HIST,historical,25379643.0,1771628.9299730917
MYS,2005,Malay,0.5012556951901245,HIST,historical,25379643.0,12721690.595642176
MYS,2005,Non-Malaysian citizens,0.07075368208998921,HIST,historical,25379643.0,1795703.19237942
MYS,2005,Other,0.009139693420493701,HIST,historical,25379643.0,231962.15614157903
MYS,2005,Other Bumi,0.11409900055635973,HIST,historical,25379643.0,2895791.9007772114
MYS,2010,Chinese,0.22534007776574194,HIST,historical,27484596.0,6193381.0
MYS,2010,Indian,0.06742314858839471,HIST,historical,27484596.0,1853097.9999999988
MYS,2010,Malay,0.5006606245913167,HIST,historical,27484596.0,13760455.000000004
MYS,2010,Non-Malaysian citizens,0.08201037410191511,HIST,historical,27484596.0,2254021.9999999995
MYS,2010,Other,0.006691821120455902,HIST,historical,27484596.0,183921.9999999978
MYS,2010,Other Bumi,0.11787395383217562,HIST,historical,27484596.0,3239717.9999999986
MYS,2015,Chinese,0.21887839743010054,HIST,historical,29965990.5,6558907.978045617
MYS,2015,Indian,0.06451186837028391,HIST,historical,29965990.5,1933162.0347211782
MYS,2015,Malay,0.5109522083282663,HIST,historical,29965990.5,15311189.020718848
MYS,2015,Non-Malaysian citizens,0.08247339781740301,HIST,historical,29965990.5,2471397.0554990196
MYS,2015,Other,0.006668782341729001,HIST,historical,29965990.5,199836.668298819
MYS,2015,Other Bumi,0.11651534571221732,HIST,historical,29965990.5,3491497.74271652
MYS,2020,Chinese,0.21241671709445925,HIST,historical,32447385.0,6892367.000000001
MYS,2020,Indian,0.06160058815217311,HIST,historical,32447385.0,1998777.9999999995
MYS,2020,Malay,0.5212437920652159,HIST,historical,32447385.0,16912998.000000004
MYS,2020,Non-Malaysian citizens,0.08293642153289081,HIST,historical,32447385.0,2691069.999999998
MYS,2020,Other,0.006645743563002002,HIST,historical,32447385.0,215636.9999999977
MYS,2020,Other Bumi,0.11515673759225893,HIST,historical,32447385.0,3736534.9999999986
MYS,2024,Chinese,0.20494099960466874,HIST,historical,34156443.50000024,7000055.673830439
MYS,2024,Indian,0.05965972651985562,HIST,historical,34156443.50000024,2037764.0781009144
MYS,2024,Malay,0.5214935125418864,HIST,historical,34156443.50000024,17812363.696753606
MYS,2024,Non-Malaysian citizens,0.09122219725600353,HIST,historical,34156443.50000024,3115825.8265205612
MYS,2024,Other,0.004849101291059001,HIST,historical,34156443.50000024,165628.05427383498
MYS,2024,Other Bumi,0.11783446278652684,HIST,historical,34156443.50000024,4024806.170520885
USA,2000,American Indian and Alaska native,0.008798021572634703,HIST,historical,281421906.0,2475955.999999976
USA,2000,Asian,0.036397301637208015,HIST,historical,281421906.0,10242998.0
USA,2000,Black or African American,0.12315384574220034,HIST,historical,281421906.0,34658190.00000001
USA,2000,Native Hawaiian and other Pacific Islander,0.0014172137687106004,HIST,historical,281421906.0,398834.9999999803
USA,2000,Some other race,0.05457667890288542,HIST,historical,281421906.0,15359073.000000004
USA,2000,Two or more races,0.024256206977718308,HIST,historical,281421906.0,6826227.999999986
USA,2000,White,0.7514007313986426,HIST,historical,281421906.0,211460626.00000006
USA,2005,American Indian and Alaska native,0.009147659170022901,HIST,historical,295083722.0,2699325.315477789
USA,2005,Asian,0.041962965106443206,HIST,historical,295083722.0,12382587.92976539
