iso3,year,ethnic_group,value_interp,share_interp,total_pop_interp
AUS,2000,Palestinian,7001,0.00030688758130592174,22812914.0
AUS,2000,Papua New Guinean,9442,0.0004138883791873322,22812914.0
AUS,2000,Paraguayan,260,1.1394278131421683e-05,22812914.0
AUS,2000,Parsi,111,4.858704757197126e-06,22812914.0
AUS,2000,Pathan,175,7.671093662124882e-06,22812914.0
AUS,2000,"People of the Americas, nfd",488,2.1391392612096814e-05,22812914.0
AUS,2000,"Peoples of the Sudan, nec",45,1.9656526975421137e-06,22812914.0
AUS,2000,"Peoples of the Sudan, nfd",1866,8.178824484990447e-05,22812914.0
AUS,2000,Peruvian,4772,0.00020917976546091393,22812914.0
AUS,2000,Pitcairn Islander,400,1.751994795635362e-05,22812914.0
AUS,2000,Polish,150900,0.00661467447779797,22812914.0
AUS,2000,"Polynesian, nec (incl. Hawaiian, Pitcairn Islander, Tahitian)",2100,9.20531239454986e-05,22812914.0
AUS,2000,"Polynesian, nfd",1827,8.008621783258378e-05,22812914.0
AUS,2000,Portuguese,35689,0.0015644209240432852,22812914.0
AUS,2000,Puerto Rican,202,8.840388205413374e-06,22812914.0
AUS,2000,Punjabi,2263,9.919819975650633e-05,22812914.0
AUS,2000,Qatari,7,2.8580616218806624e-07,22812914.0
AUS,2000,Rohingya,210,9.217248730565136e-06,22812914.0
AUS,2000,Romani (Gypsy),603,2.6432397018636022e-05,22812914.0
AUS,2000,Romanian,16122,0.0007067049829758706,22812914.0
AUS,2000,Russian,60213,0.0026394260724430033,22812914.0
AUS,2000,Rwandan,533,2.3364653758874417e-05,22812914.0
AUS,2000,Salvadoran,6616,0.000290011175249247,22812914.0
AUS,2000,Samoan,28092,0.0012314077894652125,22812914.0
AUS,2000,Saudi Arabian,184,8.065607050462734e-06,22812914.0
AUS,2000,Scottish,540046,0.023672819702033682,22812914.0
AUS,2000,Senegalese,117,5.144510919385192e-06,22812914.0
AUS,2000,Serbian,97315,0.004265785598455331,22812914.0
AUS,2000,Seychellois,2103,9.218462840827787e-05,22812914.0
AUS,2000,Shona,474,2.079239829918182e-05,22812914.0
AUS,2000,Sierra Leonean,784,3.437928746549646e-05,22812914.0
AUS,2000,Sikh,1097,4.8086798556291405e-05,22812914.0
