iso3_dest,destination_raw,iso3_orig,origin_raw,year,sex,value,metric,unit,source
ABW,Aruba*,PHL,Philippines,1995,Both sexes,486.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PHL,Philippines,2000,Both sexes,754.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PHL,Philippines,2005,Both sexes,863.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PHL,Philippines,2010,Both sexes,955.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PHL,Philippines,2015,Both sexes,1004.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PHL,Philippines,2020,Both sexes,1121.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PHL,Philippines,2024,Both sexes,1537.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PRT,Portugal,1990,Both sexes,177.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PRT,Portugal,1995,Both sexes,183.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PRT,Portugal,2000,Both sexes,188.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PRT,Portugal,2005,Both sexes,174.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PRT,Portugal,2010,Both sexes,157.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PRT,Portugal,2015,Both sexes,164.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PRT,Portugal,2020,Both sexes,182.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,PRT,Portugal,2024,Both sexes,250.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,SUR,Suriname,1990,Both sexes,721.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,SUR,Suriname,1995,Both sexes,997.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,SUR,Suriname,2000,Both sexes,1273.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,SUR,Suriname,2005,Both sexes,1285.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,SUR,Suriname,2010,Both sexes,1272.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,SUR,Suriname,2015,Both sexes,1337.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,SUR,Suriname,2020,Both sexes,1494.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,SUR,Suriname,2024,Both sexes,2049.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,SXM,Sint Maarten (Dutch part)*,1990,Both sexes,125.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,SXM,Sint Maarten (Dutch part)*,1995,Both sexes,313.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,SXM,Sint Maarten (Dutch part)*,2000,Both sexes,500.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,SXM,Sint Maarten (Dutch part)*,2005,Both sexes,589.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,SXM,Sint Maarten (Dutch part)*,2010,Both sexes,667.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,SXM,Sint Maarten (Dutch part)*,2015,Both sexes,701.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,SXM,Sint Maarten (Dutch part)*,2020,Both sexes,784.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,SXM,Sint Maarten (Dutch part)*,2024,Both sexes,1075.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,TUR,Türkiye,1990,Both sexes,115.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,TUR,Türkiye,1995,Both sexes,63.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,TUR,Türkiye,2000,Both sexes,11.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,TUR,Türkiye,2005,Both sexes,11.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,TUR,Türkiye,2010,Both sexes,11.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,TUR,Türkiye,2015,Both sexes,10.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,TUR,Türkiye,2020,Both sexes,11.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,TUR,Türkiye,2024,Both sexes,15.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
